[2024-07-23 21:28:29.220]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:28:29.233]	 Updating all plugins!
[2024-07-23 21:28:29.233]	 
[2024-07-23 21:28:29.678]	   "tmux-menus" update success
[2024-07-23 21:28:29.680]	     | Already up to date.
[2024-07-23 21:28:29.696]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:28:29.734]	 Done.

[2024-07-23 21:28:36.892]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:28:36.904]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:28:36.930]	 Already installed "tmux-menus"
[2024-07-23 21:28:36.942]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:28:36.954]	 Updating all plugins!
[2024-07-23 21:28:36.954]	 
[2024-07-23 21:28:37.417]	   "tmux-menus" update success
[2024-07-23 21:28:37.420]	     | Already up to date.
[2024-07-23 21:28:37.436]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:28:37.471]	 Done.

[2024-07-23 21:29:24.674]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:29:24.685]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:29:24.714]	 Already installed "tmux-menus"
[2024-07-23 21:29:24.733]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:29:24.751]	 Updating all plugins!
[2024-07-23 21:29:24.751]	 
[2024-07-23 21:29:25.233]	   "tmux-menus" update success
[2024-07-23 21:29:25.236]	     | Already up to date.
[2024-07-23 21:29:25.262]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:29:25.301]	 Done.

[2024-07-23 21:29:35.090]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:29:35.104]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:29:35.131]	 Already installed "tmux-menus"
[2024-07-23 21:29:35.148]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:29:35.161]	 Updating all plugins!
[2024-07-23 21:29:35.161]	 
[2024-07-23 21:29:35.603]	   "tmux-menus" update success
[2024-07-23 21:29:35.606]	     | Already up to date.
[2024-07-23 21:29:35.622]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:29:35.657]	 Done.

[2024-07-23 21:32:47.972]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:32:47.985]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:32:48.017]	 Already installed "tmux-menus"
[2024-07-23 21:32:48.032]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:32:48.045]	 Updating all plugins!
[2024-07-23 21:32:48.045]	 
[2024-07-23 21:32:48.661]	   "tmux-menus" update success
[2024-07-23 21:32:48.664]	     | Already up to date.
[2024-07-23 21:32:48.682]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:32:48.717]	 Done.

[2024-07-23 21:32:56.739]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:32:56.751]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:32:56.777]	 Already installed "tmux-menus"
[2024-07-23 21:32:56.790]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
